日期,代號,名稱,市場,開盤價,最高價,最低價,收盤價,昨收價,漲跌幅%,成交張數,成交金額,均價,振幅%,可當沖
20260520,6414,樺漢,上市,333.0,334.5,324.0,331.5,328.0,1.07,1380,455900344,330.13,3.2,True
20260520,6415,矽力*-KY,上市,480.0,518.0,465.0,507.0,482.0,5.19,12572,6254955670,497.5,11.0,True
20260520,6416,瑞祺電通,上市,88.9,89.0,87.5,88.6,87.39999999999999,1.37,259,22943170,88.25,1.72,True
20260520,6426,統新,上市,250.0,260.0,237.0,239.0,252.5,-5.35,1728,426450339,246.77,9.11,True
20260520,6431,光麗-KY,上市,20.5,22.0,20.1,22.0,21.0,4.76,63,1330540,21.09,9.05,True
20260520,6438,迅得,上市,163.0,165.0,159.5,160.5,162.5,-1.23,685,110764962,161.64,3.38,True
20260520,6442,光聖,上市,1765.0,1840.0,1755.0,1770.0,1740.0,1.72,1859,3332497855,1792.57,4.89,True
20260520,6443,元晶,上市,41.0,41.5,39.05,41.0,40.9,0.24,31083,1259609094,40.52,5.99,True
20260520,6446,藥華藥,上市,803.0,810.0,775.0,789.0,796.0,-0.88,3260,2574177297,789.6,4.4,True
20260520,6449,鈺邦,上市,250.0,268.5,247.0,268.5,244.5,9.82,1527,402420148,263.52,8.79,True
20260520,6451,訊芯-KY,上市,485.0,494.0,476.0,485.5,484.0,0.31,4243,2060846642,485.67,3.72,True
20260520,6456,GIS-KY,上市,68.1,68.6,62.9,63.6,68.1,-6.61,9669,623595256,64.49,8.37,True
20260520,6464,台數科,上市,76.8,78.1,76.8,78.0,78.0,0.0,239,18659057,77.97,1.67,True
20260520,6472,保瑞,上市,377.0,396.0,375.0,383.5,372.0,3.09,2180,840091863,385.2,5.65,True
20260520,6477,安集,上市,34.0,34.2,33.5,33.85,33.75,0.3,357,12042199,33.73,2.07,True
20260520,6491,晶碩,上市,305.0,305.0,301.0,303.0,305.5,-0.82,636,192604312,302.6,1.31,True
20260520,6504,南六,上市,38.95,38.95,38.4,38.75,38.75,0.0,28,1103219,38.62,1.42,True
20260520,6505,台塑化,上市,51.6,51.8,50.3,51.2,51.300000000000004,-0.19,6816,346639487,50.85,2.92,True
20260520,6515,穎崴,上市,9420.0,9800.0,9010.0,9080.0,9490.0,-4.32,244,2288448295,9365.53,8.32,True
20260520,6525,捷敏-KY,上市,110.0,115.0,110.0,113.5,110.0,3.18,1475,166779762,113.02,4.55,True
20260520,6526,達發,上市,647.0,665.0,632.0,657.0,647.0,1.55,1198,784346952,654.37,5.1,True
20260520,6531,愛普*,上市,1000.0,1025.0,953.0,973.0,1025.0,-5.07,7417,7317755062,986.55,7.02,True
20260520,6533,晶心科,上市,214.5,221.5,213.0,216.5,214.5,0.93,980,213590600,217.89,3.96,True
20260520,6534,正瀚-創,上市,95.0,95.0,93.5,94.4,93.80000000000001,0.64,66,6221985,93.98,1.6,True
20260520,6541,泰福-KY,上市,38.35,38.75,37.85,37.95,38.300000000000004,-0.91,270,10319239,38.19,2.35,True
20260520,6550,北極星藥業-KY,上市,16.2,16.3,16.0,16.2,16.2,0.0,1590,25581816,16.09,1.85,True
20260520,6552,易華電,上市,27.85,28.25,27.6,28.0,28.0,0.0,126,3531439,28.01,2.32,True
20260520,6558,興能高,上市,30.4,32.85,30.4,32.2,30.250000000000004,6.45,2847,90939867,31.94,8.1,True
20260520,6573,虹揚-KY,上市,13.5,13.65,13.0,13.1,13.4,-2.24,90,1196741,13.21,4.85,True
20260520,6579,研揚,上市,149.0,151.5,147.5,149.0,149.0,0.0,586,87552123,149.28,2.68,True
20260520,6581,鋼聯,上市,107.0,107.5,106.5,107.0,107.5,-0.47,21,2332655,107.01,0.93,True
20260520,6582,申豐,上市,30.5,30.6,30.5,30.6,30.5,0.33,42,1313741,30.56,0.33,True
20260520,6585,鼎基,上市,94.0,94.0,92.5,92.9,94.0,-1.17,63,5914091,93.13,1.6,True
20260520,6589,台康生技,上市,43.9,44.6,43.35,43.6,43.9,-0.68,701,30675369,43.73,2.85,True
20260520,6591,動力-KY,上市,52.0,52.3,51.3,51.8,52.0,-0.38,157,8155443,51.63,1.92,True
20260520,6592,和潤企業,上市,61.5,61.5,60.6,61.0,61.1,-0.16,353,21510018,60.91,1.47,True
